City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,olyokminsk,60.3736,120.4264,20.69,55,54,1.38,RU,1717980330
371,taman',45.2117,36.7161,23.02,74,1,3.58,RU,1717980330
372,maceio,-9.6658,-35.7353,24.69,88,20,0.51,BR,1717980331
373,gobabis,-22.45,18.9667,8.85,78,38,6.66,NA,1717980331
374,yuli,9.6989,10.2744,25.42,80,19,4.16,NG,1717980331
375,goalpara,26.1667,90.6167,28.1,81,63,1.02,IN,1717980331
376,taksimo,56.3444,114.8794,16.53,47,0,1.13,RU,1717980332
377,ust-nera,64.5667,143.2,12.38,31,25,0.96,RU,1717980332
378,barra do garcas,-15.89,-52.2567,21.19,53,100,0.94,BR,1717980332
379,merizo village,13.2658,144.6691,31.31,81,100,6.32,GU,1717980333
380,grand baie,-20.0182,57.5802,24.26,83,85,1.34,MU,1717980333
381,mogocha,53.7333,119.7667,11.86,82,99,2.55,RU,1717980333
382,saveh,35.0213,50.3566,25.72,23,0,0.78,IR,1717980333
383,nizwa,22.9333,57.5333,26.35,47,0,0.93,OM,1717980334
384,koungou,-12.7336,45.2042,26.84,69,75,7.72,YT,1717980334
385,buzuluk,52.7807,52.2635,17.2,78,0,0.45,RU,1717980334
386,suances,43.4334,-4.0434,16.66,97,100,1.54,ES,1717980334
387,rio grande,-32.035,-52.0986,22.06,87,100,4.4,BR,1717980335
388,pemangkat,1.1667,108.9667,27.92,80,99,2.91,ID,1717980335
389,ajuchitlan del progreso,18.1519,-100.4835,36.82,25,7,1.88,MX,1717980335
390,las terrenas,19.311,-69.5428,26.88,85,100,2.38,DO,1717980335
391,novoaltaysk,53.3917,83.9363,16.67,96,94,2.65,RU,1717980336
392,saraqib,35.8645,36.8059,22.34,69,0,2.72,SY,1717980336
393,kapuskasing,49.4169,-82.4331,8.05,81,75,2.57,CA,1717980336
394,yamada,39.4667,141.95,17.07,96,100,2.71,JP,1717980337
395,idfu,24.9803,32.8747,29.94,18,0,4.21,EG,1717980337
396,las heras,-46.5419,-68.9359,3.1,91,45,1.48,AR,1717980337
397,el rosario,24.2556,-107.1828,27.69,67,0,3.29,MX,1717980130
398,santiago de cao,-7.9589,-79.2392,18.07,82,75,3.09,PE,1717980338
399,freetown,8.484,-13.2299,26.51,81,33,2.7,SL,1717980338
400,san jose del guaviare,2.5729,-72.6459,23.28,96,100,0.86,CO,1717980338
401,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,5.26,RU,1717980339
402,poronaysk,49.2167,143.1167,8.42,96,100,3.7,RU,1717980339
403,don benito,38.9563,-5.8616,19.96,62,99,3.06,ES,1717980339
404,thinadhoo,0.5333,72.9333,28.33,74,100,2.59,MV,1717980339
405,gorontalo,0.5412,123.0595,28.25,78,98,0.92,ID,1717980340
406,candelaria,13.9311,121.4233,29.92,68,100,1.63,PH,1717980340
407,petropavlivka,48.4564,36.4367,17.76,78,95,2.11,UA,1717980340
408,tanjung pandan,-2.75,107.65,28.7,78,100,2.97,ID,1717980340
409,vertientes,21.2594,-78.1464,24.34,89,100,1.15,CU,1717980341
410,kuraymah,18.55,31.85,33.01,14,1,4.59,SD,1717980341
411,barrouallie,13.2333,-61.2667,26.79,83,40,5.66,VC,1717980341
412,kruisfontein,-34.0033,24.7314,10.76,71,7,1.69,ZA,1717980341
413,benalla,-36.55,145.9833,10.91,65,71,0.37,AU,1717980342
414,alice springs,-23.7,133.8833,16.75,51,0,0.0,AU,1717980342
415,coahuayana de hidalgo,18.7,-103.6583,26.43,69,4,2.22,MX,1717980342
416,manzhouli,49.6,117.4333,21.24,45,16,3.26,CN,1717980342
417,zouerate,22.7187,-12.4521,28.86,24,4,5.71,MR,1717980343
418,ocean shores,46.9737,-124.1563,15.21,85,100,6.17,US,1717980184
419,hammerfest,70.6634,23.6821,11.25,71,20,4.63,NO,1717980343
420,farroupilha,-29.225,-51.3478,20.91,68,0,3.09,BR,1717980343
